0.96	0 0 0 0.796034 0.853662 0
0.98	0 0 0 0.782278 0.864411 0
1	0 0 0 0.768066 0.87467 0
1.02	0 0 0 0.753409 0.884438 0
1.04	0 0 0 0.738318 0.893713 0
1.06	0 0 0 0.722808 0.902495 0
1.08	0 0 0 0.706893 0.910786 0
1.1	0 0 0 0.690586 0.91859 0
1.12	0 0 0 0.673905 0.92591 0
1.14	0 0 0 0.656865 0.932753 0
1.16	0 0 0 0.639483 0.939126 0
1.18	0 0 0 0.621777 0.945039 0
1.2	0 0 0 0.603764 0.950501 0
1.22	0 0 0 0.585462 0.955525 0
1.24	0 0 0 0.566891 0.960123 0
1.26	0 0 0 0.548067 0.96431 0
1.28	0 0 0 0.529009 0.968101 0
1.3	0 0 0 0.509736 0.971513 0
1.32	0 0 0 0.490265 0.974561 0
1.34	0 0 0 0.470613 0.977266 0
1.36	0 0 0 0.450797 0.979646 0
1.38	0 0 0 0.430835 0.981721 0
1.4	0 0 0 0.410742 0.983511 0
1.42	0 0 0 0.390533 0.985037 0
1.44	0 0 0 0.370222 0.98632 0
1.46	0 0 0 0.349823 0.987381 0
1.48	0 0 0 0.329349 0.988242 0
1.5	0 0 0 0.308812 0.988924 0
1.52	0 0 0 0.288222 0.989447 0
1.54	0 0 0 0.267589 0.989833 0
1.56	0 0 0 0.246922 0.990102 0
1.58	0 0 0 0.226228 0.990272 0
1.6	0 0 0 0.205515 0.990364 0
1.62	0 0 0 0.184787 0.990393 0
1.64	0 0 0 0.16405 0.990378 0
1.66	0 0 0 0.143308 0.990334 0
1.68	0 0 0 0.122563 0.990274 0
1.7	0 0 0 0.101818 0.990211 0
1.72	0 0 0 0.0810737 0.990157 0
1.74	0 0 0 0.0603314 0.990122 0
1.76	0 0 0 0.0395913 0.990112 0
1.78	0 0 0 0.0188531 0.990135 0
1.8	0 0 0 -0.00188365 0.990194 0
1.82	0 0 0 -0.0226197 0.990291 0
1.84	0 0 0 -0.0433557 0.990428 0
1.86	0 0 0 -0.0640927 0.990603 0
1.88	0 0 0 -0.0848311 0.990812 0
