0.96	0 0 0 0.789064 0.848375 0
0.98	0 0 0 0.775401 0.859032 0
1	0 0 0 0.761317 0.869222 0
1.02	0 0 0 0.746823 0.878944 0
1.04	0 0 0 0.731932 0.888198 0
1.06	0 0 0 0.716657 0.896987 0
1.08	0 0 0 0.701012 0.905313 0
1.1	0 0 0 0.685012 0.91318 0
1.12	0 0 0 0.668672 0.920594 0
1.14	0 0 0 0.652008 0.927562 0
1.16	0 0 0 0.635036 0.934093 0
1.18	0 0 0 0.617774 0.940195 0
1.2	0 0 0 0.600236 0.945879 0
1.22	0 0 0 0.582441 0.951157 0
1.24	0 0 0 0.564405 0.956041 0
1.26	0 0 0 0.546145 0.960546 0
1.28	0 0 0 0.527678 0.964686 0
1.3	0 0 0 0.509019 0.968477 0
1.32	0 0 0 0.490185 0.971934 0
1.34	0 0 0 0.471192 0.975075 0
1.36	0 0 0 0.452054 0.977918 0
1.38	0 0 0 0.432787 0.980479 0
1.4	0 0 0 0.413403 0.982778 0
1.42	0 0 0 0.393917 0.984833 0
1.44	0 0 0 0.374341 0.986663 0
1.46	0 0 0 0.354686 0.988286 0
1.48	0 0 0 0.334964 0.98972 0
1.5	0 0 0 0.315184 0.990985 0
1.52	0 0 0 0.295356 0.992097 0
1.54	0 0 0 0.275488 0.993075 0
1.56	0 0 0 0.255587 0.993935 0
1.58	0 0 0 0.23566 0.994693 0
1.6	0 0 0 0.215712 0.995365 0
1.62	0 0 0 0.195749 0.995964 0
1.64	0 0 0 0.175774 0.996504 0
1.66	0 0 0 0.155791 0.996998 0
1.68	0 0 0 0.135803 0.997456 0
1.7	0 0 0 0.11581 0.997887 0
1.72	0 0 0 0.0958159 0.9983 0
1.74	0 0 0 0.0758204 0.998702 0
1.76	0 0 0 0.0558244 0.999097 0
1.78	0 0 0 0.0358283 0.99949 0
1.8	0 0 0 0.0158321 0.999882 0
1.82	0 0 0 -0.00416402 1.00027 0
1.84	0 0 0 -0.0241602 1.00066 0
1.86	0 0 0 -0.0441562 1.00105 0
1.88	0 0 0 -0.0641519 1.00143 0
